topology,run,phase,algo,u,v,cap_uniform,cap_before_stress,cap_after_stress,usage_routed,util_routed,usage_shortest_init,usage_routed_init,util_shortest_init,util_routed_init,violated,num_switches,switches,paths,ebc,is_stressed,stress_threshold,cap_change_pct,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,0,SM,B1,1,3,100600.0,86121.463,86121.463,49408.0,0.5737,49408.0,49408.0,0.5737,0.5737,0,2,"(21, 2)|(22, 2)","(21, 2):21->3->1->2 || (22, 2):22->3->1->2",0.053333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,1,7,100600.0,45412.134,45412.134,25856.0,0.5694,0.0,0.0,0.0,0.0,0,1,"(7, 1)","(7, 1):7->1",0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,1,8,100600.0,59317.744,59317.744,79744.0,1.3444,23936.0,25856.0,0.4035,0.4359,1,3,"(25, 2)|(5, 1)|(8, 1)","(5, 1):5->8->1 || (8, 1):8->1 || (25, 2):25->13->14->6->8->1->2",0.06,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,2,7,100600.0,88735.87,88735.87,49536.0,0.5582,49536.0,47616.0,0.5582,0.5366,0,2,"(24, 2)|(23, 2)","(23, 2):23->10->4->7->2 || (24, 2):24->23->10->4->7->2",0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,10,100600.0,67722.496,67722.496,21248.0,0.3138,64000.0,64000.0,0.945,0.945,0,1,"(13, 3)","(13, 3):13->14->10->3",0.053333,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,16,100600.0,41881.704,41881.704,23552.0,0.5623,23552.0,23552.0,0.5623,0.5623,0,1,"(16, 3)","(16, 3):16->3",0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,17,100600.0,35193.429,35193.429,18432.0,0.5237,18432.0,18432.0,0.5237,0.5237,0,1,"(17, 3)","(17, 3):17->3",0.023333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,18,100600.0,32581.655,32581.655,21120.0,0.6482,21120.0,21120.0,0.6482,0.6482,0,1,"(18, 3)","(18, 3):18->3",0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,21,100600.0,93487.341,93487.341,51200.0,0.5477,51200.0,51200.0,0.5477,0.5477,0,2,"(21, 2)|(20, 3)","(20, 3):20->21->3 || (21, 2):21->3->1->2",0.073333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,3,22,100600.0,57590.291,57590.291,44800.0,0.7779,44800.0,44800.0,0.7779,0.7779,0,2,"(22, 2)|(19, 3)","(19, 3):19->22->3 || (22, 2):22->3->1->2",0.046667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,4,9,100600.0,115736.314,115736.314,71296.0,0.616,47360.0,62848.0,0.4092,0.543,0,3,"(15, 4)|(6, 4)|(9, 4)","(6, 4):6->9->4 || (9, 4):9->4 || (15, 4):15->6->9->4",0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
